Query,Impressions,Clicks,CTR,Position,Category
tariq abdul-wahad first player raised in france nba,84,0,0%,10.65,NBA Player Biography
quincy douby nba draft,62,0,0%,13.06,NBA Draft
american basketball player born february 1973 lithuanian club european championship 1999 mvp,35,0,0%,4.09,NBA Player Biography
rick fox lakers,22,0,0%,60.45,NBA Player Team
was tariq abdul-wahad the first player raised in france to play in nba,21,0,0%,9,NBA Player Biography
toni kukoc,21,0,0%,52.29,NBA Player
tariq abdul-wahad first french player nba,20,0,0%,14.8,NBA Player Biography
nba al harrington hall of fame,19,0,0%,66.68,NBA Hall of Fame
grant hill,18,0,0%,70.22,NBA Player
stephon marbury,17,0,0%,70.35,NBA Player
zach randolph nickname,16,0,0%,7.88,NBA Player
rick brunson,16,0,0%,85.62,NBA Player
quincy douby nba draft pick,15,0,0%,16.8,NBA Draft
was tariq abdul-wahad the first player raised in france to play in the nba,14,0,0%,11.64,NBA Player Biography
damon stoudamire,14,0,0%,79.14,NBA Player
is sam cassell in the hall of fame,13,0,0%,21.85,NBA Hall of Fame
zaza pachulia,13,0,0%,70.23,NBA Player
tariq abdul-wahad first french nba player,12,0,0%,12.25,NBA Player Biography
jerome james contract,12,0,0%,13.33,NBA Contract
will perdue,12,0,0%,58.25,NBA Player
kevin johnson,12,0,0%,91.75,NBA Player
sam cassell hall of fame,11,0,0%,7.36,NBA Hall of Fame
robert swift 2025,11,0,0%,10.09,NBA Player
jj barea,11,0,0%,71.27,NBA Player
bruce bowen spurs,10,0,0%,56.7,NBA Player Team
american basketball player born february 1973 led lithuanian club european championship 1999 mvp,9,0,0%,4.11,NBA Player Biography
jason terry hall of fame,9,0,0%,10.89,NBA Hall of Fame
tariq abdul-wahad first player raised in france to play in nba,9,0,0%,10.89,NBA Player Biography
why is magic johnson's title significant,9,0,0%,35.22,NBA History
the admiral nba,9,0,0%,51.44,NBA Player Nickname
jerry stackhouse,9,0,0%,62.89,NBA Player
mark jackson coach,9,0,0%,67,NBA Coach
was tariq abdul-wahad first player raised in france to play nba,8,0,0%,7.88,NBA Player Biography
tariq abdul-wahad first player raised in france to play nba,8,0,0%,10.5,NBA Player Biography
shawn bradley wingspan,8,0,0%,11.12,NBA Player Stats
jermaine o'neal hall of fame,8,0,0%,11.38,NBA Hall of Fame
shawn marion (matrix31) latest,8,0,0%,16.38,NBA Player
birdman basketball,8,0,0%,60.62,NBA Player Nickname
marko jaric,8,0,0%,69.12,NBA Player
first player raised in france to play in nba tariq abdul-wahad,7,0,0%,10.71,NBA Player Biography
tariq abdul-wahad first nba player raised in france,7,0,0%,10.71,NBA Player Biography
marcus camby dpoy,7,0,0%,14.71,NBA Awards
white chocolate nba,7,0,0%,35.29,NBA Player Nickname
michael olowokandi,7,0,0%,44.43,NBA Player
zaza pachulia warriors,7,0,0%,45.43,NBA Player Team
metta world peace,7,0,0%,48.14,NBA Player
chris andersen birdman,7,0,0%,48.86,NBA Player Nickname
david robinson spurs,7,0,0%,73.29,NBA Player Team
vlade divac,7,0,0%,78,NBA Player
earl boykins,7,0,0%,78.14,NBA Player
anthony parker,7,0,0%,86.86,NBA Player
brian grant,7,0,0%,94,NBA Player
tyronn lue coaching style,6,0,0%,9.17,NBA Coach
jerome james knicks contract,6,0,0%,11,NBA Contract
is jason terry a hall of famer,6,0,0%,12,NBA Hall of Fame
trevor ariza lakers,6,0,0%,25.33,NBA Player Team
dan majerle suns,6,0,0%,47.17,NBA Player Team
dan majerle,6,0,0%,57.17,NBA Player
olumide oyedeji,6,0,0%,66,NBA Player
al harrington,6,0,0%,66.17,NBA Player
damon stoudamire raptors,6,0,0%,67.83,NBA Player Team
michael sweetney,6,0,0%,69.17,NBA Player
bonzi wells,6,0,0%,72.33,NBA Player
michael finley hall of fame,5,0,0%,8.6,NBA Hall of Fame
shawn bradley 2025,5,0,0%,9.4,NBA Player
what happened to joseph forte,5,0,0%,10,NBA Player
is glen rice in the hall of fame,5,0,0%,10.8,NBA Hall of Fame
tariq abdul-wahad first nba player from france,5,0,0%,10.8,NBA Player Biography
monty williams coaching philosophy,5,0,0%,11.6,NBA Coach
earl joseph smith,5,0,0%,13.6,NBA Player
barea mavericks,5,0,0%,21.6,NBA Player Team
jj barea mavericks,5,0,0%,27.4,NBA Player Team
armen gilliam stats,5,0,0%,30.2,NBA Player Stats
prime dwight howard,5,0,0%,36.6,NBA Player
darko milicic,5,0,0%,55.4,NBA Player
world peace basketball player,5,0,0%,59.8,NBA Player
pops mensah bonsu,5,0,0%,62.8,NBA Player
pervis ellison,5,0,0%,66.2,NBA Player
deshawn stevenson,5,0,0%,67.4,NBA Player
kerry kittles,5,0,0%,69,NBA Player
sam cassell,5,0,0%,69.6,NBA Player
john amaechi,5,0,0%,70,NBA Player
nba rashard lewis ncaa,5,0,0%,70.6,NBA Player
ronny turiaf,5,0,0%,74.6,NBA Player
matt bonner,5,0,0%,77,NBA Player
brian skinner,5,0,0%,81.4,NBA Player
