Query,Impressions,Clicks,CTR,Position,Status,Opportunity
nepal vs uae,54,0,0%,4.61,⭐ First Page,HIGH - Cricket match coverage
nep vs uae,23,0,0%,5.04,⭐ First Page,HIGH - Cricket match coverage
mahabir pun qualification,22,0,0%,9.23,⭐ First Page,HIGH - Biography content
samajik sanjal in english,27,0,0%,10.04,Top of Page 2,MEDIUM - Social media terminology
sanjal in nepali,9,0,0%,7.44,⭐ First Page,MEDIUM - Language/terminology
samajik sanjal meaning,8,0,0%,5.88,⭐ First Page,MEDIUM - Social media terminology
samajik sanjal meaning in nepali,5,0,0%,6.4,⭐ First Page,MEDIUM - Social media terminology
samajik sanjal,5,0,0%,11.8,Top of Page 2,MEDIUM - Social media terminology
mahabir pun education qualification,7,0,0%,11.57,Top of Page 2,MEDIUM - Biography content
smart budgeting and saving tips for students in nepal,4,0,0%,77,Page 8,LOW - Need better position
global hunger index report 2025,4,0,0%,88.25,Page 9,LOW - Need better position
highest grossing nepali movies,3,0,0%,55.67,Page 6,MEDIUM - Entertainment content
chatgpt nepali,2,0,0%,9,⭐ First Page,HIGH - Technology content
foreign players in npl 2,2,0,0%,9,⭐ First Page,HIGH - Cricket content
nepali movie 2025,2,0,0%,4.5,⭐ First Page,HIGH - Entertainment content
anmol kc,2,0,0%,3,⭐ First Page,HIGH - Celebrity content
swarnim wagle,3,0,0%,27.33,Page 3,MEDIUM - Notable person
e passport nepal,2,0,0%,80,Page 8,LOW - Need better position
uae vs nep,4,0,0%,16.25,Page 2,MEDIUM - Cricket match
jerry on top,4,0,0%,3.25,⭐ First Page,HIGH - Movie content
nepali movie jerry on top,3,0,0%,3,⭐ First Page,HIGH - Movie content
jerry on top nepali movie,1,0,0%,3,⭐ First Page,HIGH - Movie content
jerry on top review,1,0,0%,3,⭐ First Page,HIGH - Movie review
mahabir pun study,3,0,0%,9,⭐ First Page,HIGH - Biography content
mahabir pun education,5,0,0%,26.4,Page 3,MEDIUM - Biography content
mahabir pun education degrees,2,0,0%,10.5,Top of Page 2,MEDIUM - Biography content
qualification of mahabir pun,6,0,0%,10.5,Top of Page 2,MEDIUM - Biography content
where did mahabir pun study,1,0,0%,10,⭐ First Page,HIGH - Biography content
education of mahabir pun,1,0,0%,12,Page 2,MEDIUM - Biography content
bikash agri,7,0,0%,9.29,⭐ First Page,HIGH - Notable person
sadish pradhan,6,0,0%,8.33,⭐ First Page,HIGH - Notable person
anil sah,4,0,0%,1,⭐ First Page,HIGH - Notable person
dotm nepal,2,0,0%,7.5,⭐ First Page,HIGH - Government service
uae vs nepal,2,0,0%,4.5,⭐ First Page,HIGH - Cricket match
icc nepal vs uae,1,0,0%,4,⭐ First Page,HIGH - Cricket match
